target_address,target_size,th06_address,th06_name,th08_address,th08_name,name_agreement,normalized_sha256,exact_bytes,evidence
0x00401000,173,,,0x00406940,D3DXMatrixIdentity,false,915954f6876644802dc8cd6a2a2f9c8afb0ec17accd2f5cb4783f09ec9a8f6d1,true,unique relocation-aware instruction identity with TH08
0x004010B0,52,,,0x00406660,th08::ZunTimer::TickImpl,false,00188e2a8000d415997c27eb0bf66c1db864f57075f355e4c322ba39797c530c,false,unique relocation-aware instruction identity with TH08
0x00402060,68,,,0x00402A30,th08::AsciiManager::AddFormatText,false,4c185732218045624380fac5b9a076508fa2f2bd25870417684aac0923fc8db5,false,unique relocation-aware instruction identity with TH08
0x004052D0,152,,,0x00408FC0,FUN_00408fc0,false,5afe40b8e90d4c04195cd3116732b2116d629e714098b253b27b9c0ff2177312,false,unique relocation-aware instruction identity with TH08
0x004075D0,50,0x00404650,th06::Stage::CutChain,,,false,37e696b22ef26af9fcf679f3d0f86d3674e74785c2b42171f3dbc18a0a0ede9d,false,unique relocation-aware instruction identity with TH06
0x0040E4F0,50,0x00407400,th06::EclManager::Unload,,,false,2f8fdc69cff1863b065e9a2f2d28b0b8fc74ace0016b57dfcd2b28f4988e3c60,false,unique relocation-aware instruction identity with TH06
0x0040FB30,89,,,0x00421120,FUN_00421120,false,5f3c8a395a215a07f09b92d5d359947bd545b22630b54ff1f20ce48bb104997a,false,unique relocation-aware instruction identity with TH08
0x0040FB90,256,,,0x00421180,FUN_00421180,false,91de93e0747cbc7726aa7428b9e42347d034433999800f6487a6d410f27b848d,false,unique relocation-aware instruction identity with TH08
0x00417AF0,33,,,0x00433880,FUN_00433880,false,7b967e862453eb9f3d2350a44624352f8a404e554bc286cd486705e98f3e760a,true,unique relocation-aware instruction identity with TH08
0x0041C1B0,16,,,0x00427250,FUN_00427250,false,ea16450344992218e158d8f670aa98abcb52d7bed0f4ebd039b136f9eb30e1b7,true,unique relocation-aware instruction identity with TH08
0x004220F0,114,,,0x0042EB10,FUN_0042eb10,false,f0ba6ba5b1088e10c53ccdd946e1d25b5ba081f5868cb4e8fb9be20d40df3ef5,false,unique relocation-aware instruction identity with TH08
0x00422CA0,23,,,0x0042E120,th08::EnemyManager::OnDrawHighPrio,false,6b3a51f882ed22389b5b195214abc9e8deb16a15189083e8d627980385526df8,false,unique relocation-aware instruction identity with TH08
0x00423050,50,0x00404650,th06::Stage::CutChain,,,false,37e696b22ef26af9fcf679f3d0f86d3674e74785c2b42171f3dbc18a0a0ede9d,false,unique relocation-aware instruction identity with TH06
0x00429A36,25,,,0x00439810,FUN_00439810,false,f13fcdac96d676b9849006c8bf3e373c1ae052c480b9383b0fe49af744828d7a,false,unique relocation-aware instruction identity with TH08
