address,size,span_end,current_name,proposed_name,module,status,match_percent,calling_convention,signature,is_thunk,source_file,evidence,owner,notes
0x00401000,173,0x004010AC,sub_401000,,,unclassified,0.00,unknown,,false,,,,
0x004010B0,52,0x004010E3,sub_4010B0,,,unclassified,0.00,unknown,,false,,,,
0x004010F0,124,0x0040116B,sub_4010F0,,,unclassified,0.00,unknown,,false,,,,
0x00401170,50,0x004011A1,sub_401170,,,unclassified,0.00,unknown,,false,,,,
0x004011B0,251,0x004012AA,sub_4011B0,,,unclassified,0.00,unknown,,false,,,,
0x004012B0,212,0x00401383,sub_4012B0,,,unclassified,0.00,unknown,,false,,,,
0x00401390,107,0x004013FA,sub_401390,,,unclassified,0.00,unknown,,false,,,,
0x00401400,155,0x0040149A,sub_401400,,,unclassified,0.00,unknown,,false,,,,
0x004014A0,496,0x0040168F,sub_4014A0,,,unclassified,0.00,unknown,,false,,,,
0x00401690,143,0x0040171E,sub_401690,,,unclassified,0.00,unknown,,false,,,,
0x00401720,143,0x004017AE,sub_401720,,,unclassified,0.00,unknown,,false,,,,
0x004017B0,40,0x004017D7,sub_4017B0,,,unclassified,0.00,unknown,,false,,,,
0x004017E0,391,0x00401966,sub_4017E0,,,unclassified,0.00,unknown,,false,,,,
0x00401970,99,0x004019D2,sub_401970,,,unclassified,0.00,unknown,,false,,,,
0x004019E0,24,0x004019F7,sub_4019E0,,,unclassified,0.00,unknown,,false,,,,
0x00401A00,407,0x00401B96,sub_401A00,,,unclassified,0.00,unknown,,false,,,,
0x00401BA0,456,0x00401D67,sub_401BA0,,,unclassified,0.00,unknown,,false,,,,
0x00401D70,104,0x00401DD7,sub_401D70,,,unclassified,0.00,unknown,,false,,,,
0x00401DE0,65,0x00401E20,sub_401DE0,,,unclassified,0.00,unknown,,false,,,,
0x00401E30,213,0x00401F04,sub_401E30,,,unclassified,0.00,unknown,,false,,,,
0x00401F10,35,0x00401F32,sub_401F10,,,unclassified,0.00,unknown,,false,,,,
0x00401F40,277,0x00402054,sub_401F40,,,unclassified,0.00,unknown,,false,,,,
0x00402060,68,0x004020A3,sub_402060,,,unclassified,0.00,unknown,,false,,,,
0x004020B0,1082,0x004024E9,sub_4020B0,,,unclassified,0.00,unknown,,false,,,,
0x004024F0,320,0x0040262F,sub_4024F0,,,unclassified,0.00,unknown,,false,,,,
0x00402630,322,0x00402771,sub_402630,,,unclassified,0.00,unknown,,false,,,,
0x00402780,4709,0x004039E4,sub_402780,,,unclassified,0.00,unknown,,false,,,,
0x00403A20,310,0x00403B55,sub_403A20,,,unclassified,0.00,unknown,,false,,,,
0x00403B60,2528,0x0040453F,sub_403B60,,,unclassified,0.00,unknown,,false,,,,
0x00404560,298,0x00404689,sub_404560,,,unclassified,0.00,unknown,,false,,,,
0x00404690,2010,0x00404E69,sub_404690,,,unclassified,0.00,unknown,,false,,,,
0x00404E70,62,0x00404EAD,sub_404E70,,,unclassified,0.00,unknown,,false,,,,
0x00404EB0,124,0x00404F2B,sub_404EB0,,,unclassified,0.00,unknown,,false,,,,
0x00404F30,169,0x00404FD8,sub_404F30,,,unclassified,0.00,unknown,,false,,,,
0x00404FE0,145,0x00405070,sub_404FE0,,,unclassified,0.00,unknown,,false,,,,
0x00405080,585,0x004052C8,sub_405080,,,unclassified,0.00,unknown,,false,,,,
0x004052D0,152,0x00405367,sub_4052D0,,,unclassified,0.00,unknown,,false,,,,
