unit,library,member,address,symbol,rel32_targets,dir32_targets
vc7-d3dx8-auto-cd3dxblt,d3dx8,obj/i386/cd3dxblt.obj,0x0046312D,??1TF_Row@@QAE@XZ,??3@YAXPAX@Z=0x0047D43C,
vc7-d3dx8-auto-cd3dxblt,d3dx8,obj/i386/cd3dxblt.obj,0x00464DCB,?BltCopy@CD3DXBlt@@IAEJXZ,??2@YAPAXI@Z=0x0047D441;??3@YAXPAX@Z=0x0047D43C,
vc7-d3dx8-auto-cd3dxblt,d3dx8,obj/i386/cd3dxblt.obj,0x00464E6D,?BltNone@CD3DXBlt@@IAEJXZ,??2@YAPAXI@Z=0x0047D441;??3@YAXPAX@Z=0x0047D43C,
vc7-d3dx8-auto-cd3dxblt,d3dx8,obj/i386/cd3dxblt.obj,0x00464FE2,?BltPoint@CD3DXBlt@@IAEJXZ,??2@YAPAXI@Z=0x0047D441;??3@YAXPAX@Z=0x0047D43C,
vc7-d3dx8-auto-cd3dxblt,d3dx8,obj/i386/cd3dxblt.obj,0x004658B6,?LF_SetupLinear@@YAPAEIIH@Z,??2@YAPAXI@Z=0x0047D441;?F2IBegin@@YAXXZ=0x00464C66;?F2IEnd@@YAXXZ=0x00464C89;_floor=0x0047EE10,__real@3f000000=__real@3f000000;__real@3f800000=__real@3f800000
vc7-d3dx8-auto-cd3dxblt,d3dx8,obj/i386/cd3dxblt.obj,0x00465987,?BltLinear2D@CD3DXBlt@@IAEJXZ,??2@YAPAXI@Z=0x0047D441;??3@YAXPAX@Z=0x0047D43C;?LF_SetupLinear@@YAPAEIIH@Z=0x004658B6,
vc7-d3dx8-auto-cd3dxblt,d3dx8,obj/i386/cd3dxblt.obj,0x00465CC8,?BltLinear3D@CD3DXBlt@@IAEJXZ,??2@YAPAXI@Z=0x0047D441;??3@YAXPAX@Z=0x0047D43C;?LF_SetupLinear@@YAPAEIIH@Z=0x004658B6,
vc7-d3dx8-auto-cd3dxblt,d3dx8,obj/i386/cd3dxblt.obj,0x00466315,?Blt@CD3DXBlt@@QAEJPAUD3DX_BLT@@0K@Z,?BltBox2D@CD3DXBlt@@IAEJXZ=0x00465178;?BltBox3D@CD3DXBlt@@IAEJXZ=0x0046550D;?BltCopy@CD3DXBlt@@IAEJXZ=0x00464DCB;?BltLinear2D@CD3DXBlt@@IAEJXZ=0x00465987;?BltLinear3D@CD3DXBlt@@IAEJXZ=0x00465CC8;?BltNone@CD3DXBlt@@IAEJXZ=0x00464E6D;?BltPoint@CD3DXBlt@@IAEJXZ=0x00464FE2;?BltSame@CD3DXBlt@@IAEJXZ=0x00464C99;?BltTriangle2D@CD3DXBlt@@IAEJXZ=0x004633F0;?BltTriangle3D@CD3DXBlt@@IAEJXZ=0x004637A6;?Create@CD3DXCodec@@SAPAV1@PAUD3DX_BLT@@@Z=0x0046AF4F,
vc7-d3dx8-auto-cd3dxcodec,d3dx8,obj/i386/cd3dxcodec.obj,0x00468499,?Encode@CD3DXCodec_R8G8B8@@UAEXIIPAUD3DXCOLOR@@@Z,?F2IBegin@@YAXXZ=0x004681F1;?F2IEnd@@YAXXZ=0x00468214,__real@437f0000=bullet_update_real_255
vc7-d3dx8-auto-cd3dxcodec,d3dx8,obj/i386/cd3dxcodec.obj,0x0046855A,?Encode@CD3DXCodec_A8R8G8B8@@UAEXIIPAUD3DXCOLOR@@@Z,?F2IBegin@@YAXXZ=0x004681F1;?F2IEnd@@YAXXZ=0x00468214,__real@437f0000=bullet_update_real_255
vc7-d3dx8-auto-cd3dxcodec,d3dx8,obj/i386/cd3dxcodec.obj,0x00468653,?Encode@CD3DXCodec_X8R8G8B8@@UAEXIIPAUD3DXCOLOR@@@Z,?F2IBegin@@YAXXZ=0x004681F1;?F2IEnd@@YAXXZ=0x00468214,__real@437f0000=bullet_update_real_255
vc7-d3dx8-auto-cd3dxcodec,d3dx8,obj/i386/cd3dxcodec.obj,0x00468B95,?Encode@CD3DXCodec_A8@@UAEXIIPAUD3DXCOLOR@@@Z,?F2IBegin@@YAXXZ=0x004681F1;?F2IEnd@@YAXXZ=0x00468214,__real@437f0000=bullet_update_real_255
vc7-d3dx8-auto-cd3dxcodec,d3dx8,obj/i386/cd3dxcodec.obj,0x00468EE4,?Encode@CD3DXCodec_P8@@UAEXIIPAUD3DXCOLOR@@@Z,??GD3DXCOLOR@@QBE?AU0@ABU0@@Z=0x004681C5,
